 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Palmer Ault","Butler","Fr.","F","19","10","6","26"
"25","Emil Jaaskelainen","LIU","Jr.","F","15","12","1","25"
"","Stefan Sigurdarson","Boston College","Sr.","F","16","12","1","25"
"","Valentin Noel","Pittsburgh","Sr.","M","21","11","3","25"
"","Kieran Richards","ETSU","Sr.","M","17","11","3","25"
"","Bojan Kolevski","Cleveland St.","Jr.","F","20","10","5","25"
"","Alex Meinhard","Tulsa","Jr.","F","15","10","5","25"
"","Max Murray","Vermont","Jr.","F","20","10","5","25"
"","Kameron Lacey","Charlotte","Sr.","F","16","9","7","25"
"","Lukas Hackaa","IUPUI","Jr.","M","20","8","9","25"
"34","Jelldrik Dallmann","Lipscomb","Sr.","F","17","11","2","24"
"","Stephen Afrifa","FIU","Sr.","F","19","10","4","24"
"","Matthew Bell","Marshall","Fr.","F","19","10","4","24"
"","Ryan Carmichael","Hofstra","Jr.","F","21","10","4","24"
"","Tomas Svecula","Quinnipiac","Sr.","F","21","10","4","24"
"","Felipe D'Agostini","Oral Roberts","So.","M","17","9","6","24"
"","Jason Shokalook","Akron","So.","F","18","9","6","24"
"","Marco Afonso","UNC Greensboro","Sr.","F","21","8","8","24"
"","Brandon Morales","Cornell","Sr.","M","19","8","8","24"
"","Giorgio Probo","Creighton","So.","M","24","5","14","24"
"44","Rodrigo Almeida","Niagara","Sr.","F","20","10","3","23"
"","Ismail El Harchi","UNC Greensboro","Sr.","F","20","10","3","23"
"","Gage Guerra","Army West Point","So.","F","15","10","3","23"
"","Kemy Amiche","Campbell","So.","F","13","9","5","23"
"","Bryant Farkarlun","Houston Christian","Sr.","F","18","9","5","23"
"49","Lucca Dourado","UCF","Jr.","F","13","11","0","22"
"","Noah Holmes","High Point","Sr.","F","21","11","0","22"
"","Eythor Bjorgolfsson","Kentucky","Sr.","F","19","10","2","22"
"","Alec Hughes","Massachusetts","Jr.","F","17","10","2","22"
"","Shakur Mohammed","Duke","So.","M","19","10","2","22"
"","Pablo Kawecki","Cleveland St.","Sr.","M","20","9","4","22"
"","Nicolo Mulatero","Missouri St.","Sr.","F","18","9","4","22"
"","Sebastian Andreassen","Central Ark.","Sr.","F","16","8","6","22"
"","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","8","6","22"
"","Luis Mueller","California Baptist","Jr.","F","21","8","6","22"
"","Owen O'Malley","Creighton","Jr.","M","23","8","6","22"
"","Dylan Gaither","Mercer","Sr.","M","19","6","10","22"
"","JC Ngando","UNC Greensboro","So.","M","21","4","14","22"
"62","Alvaro Garcia-Pascual","Coastal Carolina","So.","F","16","10","1","21"
"","Nacho Diaz Barragan","Evansville","So.","F","19","9","3","21"
"","Josemir Gomez","IUPUI","Fr.","F","19","9","3","21"
"","Bertin Jacquesson","Pittsburgh","Jr.","F","19","8","5","21"
"","Dyson Clapier","Akron","So.","M","18","7","7","21"
"","Brendan Clark","UC Riverside","Sr.","D","20","7","7","21"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7","7","21"
"","Bryan Iliohan","California Baptist","Sr.","F","21","7","7","21"
"","Oliver Svalander","Hofstra","Jr.","F","21","7","7","21"
"","Shane Anderson","Oral Roberts","Jr.","M","17","6","9","21"
"","Alexander Stjernegaard","Quinnipiac","Fr.","D","21","4","13","21"
"73","Denis Krioutchenkov","Davidson","Fr.","F","17","9","2","20"
"","Nikolai Rojel","Wofford","Fr.","F","16","9","2","20"
"","Jacob Babalai","Portland","So.","F","20","8","4","20"
"","Shane de Flores","Stanford","So.","M","19","8","4","20"
"","Sam Bassett","Denver","So.","M","22","7","6","20"
"","Malcolm Johnston","Maryland","Sr.","M","17","6","8","20"
"","Alexander Levengood","William & Mary","Sr.","M","18","6","8","20"
"","Kenji Mboma Dem","Omaha","Jr.","F","16","6","8","20"
"","Jackson Temple","Rutgers","Sr.","M","21","6","8","20"
"82","Eli Goldman","New Hampshire","Jr.","M","20","9","1","19"
"","Jalen James","Campbell","Sr.","F","17","8","3","19"
"","Hayes Wood","Lipscomb","Sr.","F","19","8","3","19"
"","Milo Yosef","Marshall","Sr.","F","17","8","3","19"
"","John Klein","Saint Louis","Sr.","M","20","7","5","19"
"","Enzo Mauriz","Kentucky","Jr.","M","21","7","5","19"
"","Dylan Sing","Western Mich.","Sr.","M","21","6","7","19"
"","Jackson Wrobel","Wofford","So.","M","17","6","7","19"
"","Carlo Agostinelli","Stanford","Jr.","F","19","5","9","19"
"","Tyler Young","Campbell","Jr.","M","20","5","9","19"
"","Tom Cooklin","George Washington","Sr.","F","17","3","13","19"
"93","Paolo Carroll","Yale","Sr.","F","15","8","2","18"
"","AJ Franklin","Drake","Jr.","F","15","8","2","18"
"","Peter Mangione","Penn St.","Jr.","F","16","8","2","18"
"","Jack Sarkos","Lehigh","Sr.","F","16","8","2","18"
"","Leo Afonso","Virginia","Jr.","F","19","7","4","18"
"","Simon Carlson","Georgia St.","Jr.","M","19","7","4","18"
"","CJ Fodrey","San Diego St.","Fr.","F","18","7","4","18"
"","Quenzi Huerman","Seton Hall","Jr.","M","18","7","4","18"
"","Roald Mitchell","Wake Forest","So.","M","20","7","4","18"
"","Jacob Murrell","Georgetown","Fr.","F","21","7","4","18"
"","Albert Portas","Cleveland St.","Jr.","M","19","7","4","18"
"","Nick Scardina","Washington","Jr.","M","20","7","4","18"
"","Gurman Sangha","Portland","Sr.","M","21","6","6","18"
"","Alessandro Arlotti","Harvard","So.","F","17","5","8","18"
"","Sergi Martinez","Bowling Green","Sr.","F","16","5","8","18"
"","Jesus Salazar","Mount St. Mary's","Jr.","M","17","5","8","18"
"","Sebastian Nava","Portland","So.","M","21","4","10","18"
"","Alexander Petraeus","SMU","Fr.","F","16","4","10","18"
"","Filip Mirkovic","Pittsburgh","Jr.","M","20","3","12","18"
"112","Ask Ekeland","Duquesne","Fr.","M","19","8","1","17"
"","Chris Elliott","Col. of Charleston","Fr.","F","16","8","1","17"
